pauta,url,voto
"PLP 039/20  - DTQ 11 - PT - destaque da Emenda de Plenário n. 11, apresentada ao PLP 39/2020. (161, II)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,Não
"PLP 19/2019 - Emd Plen Rejeit -  Votação das Emendas de Plenário com parecer pela rejeição, ressalvados os destaques",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,---
PLP 19/2019 - Projeto de Lei Complementar nº 19/2019,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,Sim
PLP 19/2019 - Destaque 2,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,Não
PLP 19/2019 - Destaque 6,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,Sim
"PLP 039/20  - DTQ 14 - BLOCO PP destaque para votação em separado da expressão ""desde que diretamente envolvidos no combate à pandemia do COVID-19"", constante do §6º do artigo 8º ao PLP 39 de 2020, com vistas à sua supressão. (161, I)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,---
"PLP 039/20  - DTQ 19 - CIDADANIA destaque para votação da expressão ""III -servidores da Defesa Agropecuária"", constante da Emenda nº 44, de 2020, apresentada ao Projeto de Lei Complementar n° 39, de 2020, que ""Estabelece o Programa Federativo de Enfrentamento ao Coronavírus SARS-CoV-2 (Covid-19), altera a Lei Complementar nº 101, de 4 de maio de 2000, e dá outras providências.""",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,Não
PLP 039/20  - DTQ 15 - PDT - destaque para votação em separado da Emenda nº 69 apresentada ao Projeto de Lei Complementar nº 39/2020.,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,Não
PEC 10/2020 (Fase 2 - CD) -,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,Sim
PLP 19/2019 - Destaque 9,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,Não
PLP 19/2019 - Req Ret Pauta - Requerimento para Retirada de Pauta ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,Não
PLP 19/2019 - Destaque 1,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,Não
